WANT,NEED,URGE,DOING,HOW,GOOD,BETTER,WORSE,SUCCEED,PAST,THOUGHT,REMIND,GRAB,,,,
3,6,3,2,2,2,3,2,2,2,4,4,3,,,,
3,2,3,5,5,5,5,5,4,3,3,3,2,,,,
1,1,1,1,1,1,1,1,1,1,1,1,1,,,,
4,4,4,3,3,4,3,3,3,3,4,3,3,,,,
7,7,4,5,5,7,9,9,3,8,10,8,8,,,,
1,1,1,1,1,1,1,1,1,1,1,1,1,,,,
1,1,1,1,1,1,1,1,1,1,1,1,1,,,,
3,2,2,2,1,2,2,1,1,1,2,2,2,,,,
1,1,1,1,1,1,1,1,1,1,1,1,1,,,,
10,10,10,10,10,10,10,10,10,10,10,11,10,,,,
8,8,8,8,8,8,5,8,5,6,8,7,7,,,,
8,7,8,8,7,7,8,8,7,7,7,6,6,,,,
5,4,3,4,5,3,3,5,4,5,4,4,3,,,,
1,1,1,1,1,1,1,1,1,1,1,1,1,,,,
1,1,1,1,1,1,1,1,1,1,1,1,1,,,,
6,4,4,4,6,6,5,1,5,6,4,8,4,,,,
6,4,6,4,4,4,4,4,4,6,3,3,3,,,,
1,1,1,1,1,1,1,1,1,1,1,1,1,,,,
1,1,1,1,1,1,1,1,1,1,1,1,1,,,,
1,1,1,1,1,1,1,1,1,1,1,1,1,,,,
4,5,5,3,5,3,4,4,3,4,5,5,5,,,,
4,2,3,6,3,4,4,2,2,2,3,3,3,,,,
3,5,2,3,3,3,4,3,4,7,3,4,3,,,,
9,9,9,6,6,6,6,6,6,6,6,6,6,,,,
1,1,1,1,1,1,1,1,1,1,1,1,1,,,,
1,1,1,3,2,3,2,2,2,3,3,3,4,,,,
6,2,6,4,4,6,6,3,5,5,4,4,3,,,,
1,1,1,1,1,1,1,1,1,1,1,1,1,,,,
3,2,2,1,2,2,2,2,2,2,2,4,3,,,,
6,4,4,7,7,7,7,6,7,1,4,4,4,,,,
1,1,1,1,1,1,1,1,1,1,1,1,1,,,,
6,6,8,3,3,3,3,3,3,3,4,4,2,,,,
5,5,5,6,7,7,7,9,6,3,4,4,7,,,,
1,1,1,2,1,1,1,1,2,1,2,2,1,,,,
3,2,2,3,4,5,6,5,7,5,3,3,4,,,,
1,1,1,1,1,1,1,1,1,1,1,1,1,,,,
1,1,1,1,1,1,1,1,1,1,1,1,1,,,,
4,10,5,4,5,6,6,3,3,2,3,4,5,,,,
1,1,1,1,1,1,1,1,1,1,1,1,1,,,,
8,8,8,8,8,8,8,8,8,8,8,8,8,,,,
2,2,1,2,2,2,2,1,2,1,2,3,2,,,,
3,2,2,2,2,3,5,5,4,2,2,2,2,,,,
2,1,1,1,1,4,1,1,1,1,1,4,3,,,,
7,6,6,6,6,9,9,2,5,2,6,3,5,,,,
4,3,4,4,4,3,3,1,9,8,3,2,2,,,,
2,2,1,2,2,2,2,1,1,1,1,1,1,,,,
1,1,1,1,1,1,1,1,1,1,1,1,1,,,,
8,8,8,8,8,8,8,6,6,1,6,6,6,,,,
1,1,1,1,1,1,1,1,1,1,1,1,1,,,,
1,2,3,2,3,3,3,3,6,4,4,4,4,,,,
5,4,7,7,7,8,6,4,5,5,5,6,6,,,,
1,1,1,1,1,1,1,1,1,1,1,1,1,,,,
3,1,1,1,1,1,1,1,1,1,4,1,3,,,,
1,1,1,1,1,1,1,1,1,1,1,1,1,,,,
8,8,6,8,9,8,7,7,9,8,7,8,6,,,,
4,3,7,8,8,8,8,3,9,7,4,3,3,,,,
6,8,6,3,2,2,2,2,2,1,1,1,1,,,,
10,10,10,9,9,4,4,8,9,10,9,10,9,,,,
9,11,5,9,9,11,11,11,5,8,10,10,10,,,,
3,6,4,4,2,6,7,2,2,1,4,2,2,,,,
8,9,7,7,7,7,7,8,8,7,7,8,7,,,,
1,1,1,1,1,1,1,1,1,1,1,1,1,,,,
3,8,4,4,4,4,4,1,2,1,9,9,5,,,,
1,1,1,1,1,1,1,1,1,1,1,1,1,,,,
3,3,3,3,3,3,5,5,4,2,3,3,3,,,,
2,2,2,2,2,2,2,2,2,2,2,2,2,,,,
1,1,1,1,1,1,1,1,1,1,1,1,1,,,,
2,1,1,3,1,5,5,1,1,1,2,1,1,,,,
1,1,1,1,1,1,1,1,1,1,1,1,1,,,,
2,1,2,2,1,2,1,1,1,2,2,1,1,,,,
3,3,3,3,2,3,4,2,2,2,3,1,3,,,,
7,5,6,6,5,7,7,7,8,5,6,7,7,,,,
5,4,5,6,6,5,7,5,7,7,6,8,5,,,,
1,1,1,1,1,1,1,1,1,1,1,1,1,,,,
1,2,1,1,1,1,1,1,1,1,2,1,1,,,,
3,2,2,3,2,2,2,2,2,2,2,2,2,,,,
3,3,3,3,2,2,5,2,2,2,3,3,3,,,,
1,1,1,1,1,1,1,1,1,1,2,2,2,,,,
1,1,1,1,1,1,1,1,1,1,1,1,1,,,,
1,1,1,1,1,1,1,1,1,1,1,1,1,,,,
4,4,2,1,1,2,2,1,2,1,2,2,1,,,,
4,5,8,4,4,5,5,6,6,6,6,6,6,,,,
6,5,5,6,6,5,5,6,6,6,6,6,6,,,,
1,1,1,1,1,1,1,1,1,1,1,1,1,,,,
1,1,1,1,1,1,1,1,1,1,1,1,1,,,,
6,9,4,3,3,3,3,3,3,3,6,4,5,,,,
3,4,5,4,3,4,3,4,5,6,5,4,3,,,,
1,1,1,1,1,1,1,1,1,1,1,1,1,,,,
1,1,2,2,2,1,1,1,1,2,3,2,2,,,,
9,7,9,3,4,3,5,3,6,1,7,8,7,,,,
1,1,1,1,1,1,1,1,1,1,1,1,1,,,,
1,1,1,1,1,1,1,1,1,1,1,1,1,,,,
7,7,6,6,6,6,7,7,7,6,6,6,6,,,,
2,2,1,2,1,1,1,4,1,1,2,1,1,,,,
3,3,3,3,3,4,5,4,5,4,3,4,3,,,,
1,1,1,1,1,1,1,1,1,1,1,1,1,,,,
1,1,1,5,5,2,2,2,6,7,4,2,1,,,,
4,4,2,2,2,2,2,2,2,2,4,4,4,,,,
5,3,5,4,3,9,9,3,8,9,4,4,4,,,,
4,3,5,4,4,4,4,4,6,6,9,10,6,,,,
11,6,10,8,8,8,8,8,8,8,8,6,6,,,,
1,1,1,1,1,1,1,1,1,3,4,3,2,,,,
5,4,4,4,4,4,4,4,4,4,4,4,4,,,,
1,1,1,2,2,4,6,1,3,1,1,1,1,,,,
1,1,1,1,1,1,1,1,1,1,1,1,1,,,,
8,8,7,9,8,8,10,6,4,5,8,6,6,,,,
1,1,1,1,1,1,1,1,1,1,1,1,1,,,,
1,1,1,1,1,1,1,1,1,1,1,1,1,,,,
4,2,2,3,1,3,1,1,1,2,2,2,2,,,,
10,10,10,10,10,8,9,8,9,8,10,10,10,,,,
6,8,7,8,8,8,8,8,8,8,8,8,8,,,,
3,2,4,1,1,1,1,1,1,1,1,1,1,,,,
5,5,8,6,4,6,5,6,6,4,7,5,6,,,,
1,1,2,1,1,1,2,2,2,3,2,3,3,,,,
9,5,9,9,9,9,9,9,9,9,8,8,8,,,,
9,6,6,5,6,6,6,6,7,2,3,3,3,,,,
6,6,6,6,6,6,6,6,6,6,6,6,6,,,,
9,9,8,7,6,7,8,8,3,3,10,6,6,,,,
3,2,3,2,2,2,2,2,2,2,7,8,6,,,,
